CheeseId,CheeseNameEn,CheeseNameFr,ManufacturerNameEn,ManufacturerNameFr,ManufacturerProvCode,ManufacturingTypeEn,ManufacturingTypeFr,WebSiteEn,WebSiteFr,FatContentPercent,MoisturePercent,ParticularitiesEn,ParticularitiesFr,FlavourEn,FlavourFr,CharacteristicsEn,CharacteristicsFr,RipeningEn,RipeningFr,Organic,CategoryTypeEn,CategoryTypeFr,MilkTypeEn,MilkTypeFr,MilkTreatmentTypeEn,MilkTreatmentTypeFr,RindTypeEn,RindTypeFr,LastUpdateDate
1292,,Cheddar frais Côte-de-Beaupré,,Fromagerie Côte-de-Beaupré (Fromagerie Perron),QC,Industrial,Industrielle,http://www.fromagerieperron.com/eng/accueil.shtm,http://www.fromagerieperron.com,31,39,,,Plain or seasoned,Nature ou assaisonné,Cheese curds or pressed,Fromage en grains ou pressé,Unripened,non-affiné,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1293,,Caprano vieilli,,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,27,45,,,"Goat butter taste, more pronounced taste than the Caprano, without being overly pungent","Goût de beurre caprin plus prononcé que le Caprano, sans être trop piquant",,,18 Months,18 mois,0,Firm Cheese,Pâte ferme,Goat,Chèvre,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1294,,Cendrillon (Le),,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,25,50,World Champion in all categories World Cheese Awards 2009    Covered with vegetable ash,Champion mondial en toute catégproe World Cheese Awards 2009    Couvert de cendre végétale,"Acidulous, semi-strong taste",Goût acidulé et peu piquant,"Soft cheese, surface-ripened",Pâte molle affinée en surface,,,0,Soft Cheese,Pâte molle,Goat,Chèvre,Pasteurized,Pasteurisé,,,2016-02-03
1295,,Rumeur (La),,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,30,50,,,,,Double cream Brie,Brie double crème,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1296,,Camembert de Portneuf,,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,30,50,,,Typed and aromatic,Typée et parfumée,"Thin rind, creamy and supple texture","Fine croûte, texture crémeuse et souple",,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1297,,Brise du Matin,,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,30,50,It is made of pasturized milk and cream,Il est fait de lait et de crème pasteurisés,"It has flavous of butter, fresh mushrooms and hazelnuts that become more pronounced with age","Goût de beurre, de champignons frais et de noisettes devenant plus prononcé avec l'âge",It has a bloomy rind with a creamy interior,Il possède une croûte fleurie avec une pâte crémeuse,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1298,,Brie double crème de Portneuf,,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,30,50,Made with Cream,Fait avec de la crème,Mild and creamy with a nutty flavour,Doux et crèmeux au goût de noisette,Double cream,Double crème,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1299,,Brie de Portneuf,,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,25,50,,,Slightly fruity,Légèrement fruitée,Regular Brie,Brie régulier,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1300,,Bonaparte (Le),,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,30,50,Made with cream,Fait avec de la crème,,,Double cream,Double crème,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1301,,Capriny,,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,22,55,,,"Delicate and salty (varieties available: plain, herb, pepper)","Fine et salée (variétés disponibles : nature, fines herbes et poivre)","Soft and creamy body, slightly acidulous","Pâte molle et crémeuse, légèrement acidulée",Unripened,non-affiné,0,Fresh Cheese,Pâte fraîche,Goat,Chèvre,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1302,,Belle Crème,,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,35,50,Cream enriched,Enrichi de crème,"Mild, light and delicate. Creamy and nutty taste","Douce, fine et délicate.  Saveur de crème et de noix",Triple cream,Triple crème,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1303,,Bleubry,,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,37,45,Champion de Catégorie au Grand Prix des fromages Canadiens 2004,2004 Canadian Cheese Grand Prix Category Winner 2004,Very mild flavours reminiscent of blue cheese characteristics,Très douce avec rappel des caractères des bleus,Blue-veined,Pâte persillée,Less than 1 Month,moins de 1 mois,0,Veined Cheeses,Pâte persillée,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1304,,Chèvre D'Art,,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,25,50,,,Lightly salted and acidic,Légèrement salée et acide,"Ripened, white interior","Affiné, à pâte blanche",,,0,Soft Cheese,Pâte molle,Goat,Chèvre,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1305,,Chèvre des neiges,,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,24,55,Made from 50% cow's milk and 50% goat's milk,Fabriqué à partir de 50 % de lait de vache et 50 % de lait de chèvre,"Mild, slight goat taste available with fig and orange flavour",Douce et légèrement caprine disponible en saveur de figue et orange,Smooth,Lisse,Unripened,non-affiné,0,Fresh Cheese,Pâte fraîche,Cow and Goat,Vache et chèvre,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1306,,Calendos (Le),,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,30,50,Affiné en surface et recouvert d'une belle croûte blanche,Ripened surface and covered with a beautiful white rind,"Smooth and velvety, with age it bocomes more full-flavoured and gains a mor distinct aroma",Douce et veloutée qui prend en veillissant un goût plus corsé et un arôme plus marqué,"Supple, homogeneous, creamy-yellow body",Fromage à pâte souple et homogène de couleur jaune crème,Less than 1 Month,moins de 1 mois,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1307,,Caprano,,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,27,45,Cheese with small holes,Pâte parsemée de petits trous,Mild and delicate  taste becoming more pronounced with age,Douce et délicate devenant plus prononcée avec l'âge,Natural rind,Pâte à croûte naturelle,Less than 1 Month,moins de 1 mois,0,Firm Cheese,Pâte ferme,Goat,Chèvre,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1308,,Paillot de chèvre,,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,25,50,Wrapped in straw,Enroulé de paille,"Sharp to pronounced depending on ripening, lactic and slight hazelnut flavour","Marquée à prononcée selon l'affinage, saveur lactée, légèrement noisetée",,,Unripened,non-affiné,0,Fresh Cheese,Pâte fraîche,Goat,Chèvre,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1309,,Saint-Honoré,,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,35,50,Cream enriched,Enrichi de crème,Mild and  rich,Douce et  riche,Triple cream,Triple crème,Less than 1 Month,moins de 1 mois,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1310,,Campagnard,,Alexis de Portneuf (Saputo),QC,Industrial,Industrielle,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=4105,http://www.alexisdeportneuf.com/Default.aspx?rdr=trueandLangType=3084,30,50,,,"Taste of butter, nuts and corn","Goût de beurre, de noix et de maïs",Camembert type,Type camembert,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1311,,Tomme du Maréchal,,Chèvrerie du Buckland,QC,Farmstead,Fermière,http://www.chevreriedubuckland.com,,27,48,,,"Butter, hazelnut and chestnut flavors","Goût de beurre, de noisettes et de châtaignes",,,9 Months,9 mois,0,Semi-soft Cheese,Pâte demi-ferme,Goat,Chèvre,Raw Milk,Lait cru,,,2016-02-03
1312,,Cheddar St-Georges,,Fromagerie Proulx,QC,Artisan,Artisanale,,http://http://www.fromagerieproulx.com/Bienvenue.php?lg=1,31,39,,,Hazelnut flavor,Saveur de noisettes,"Cream-colored, blocks or curds","Couleur crème, en bloc ou en grains",,,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1313,,Fontina de l'Abbaye,,Fromagerie Abbaye de Saint-Benoît-du-Lac,QC,Artisan,Artisanale,,http://www.st-benoit-du-lac.com/fromages/fromagerie.html,30,43,,,"Mild, slightly lactic and hazelnut flavour","Douce, légèrement lactique et noisetté","Ivory-colored cheese, smoothand elastic texture, few holes","Pâte de couleur ivoire, texture souple et élastique, peu d'ouvertures",3 Months,3 mois,1,Semi-soft Cheese,Pâte demi-ferme,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1314,,Chèvre-Noît Bleu de chèvre,,Fromagerie Abbaye de Saint-Benoît-du-Lac,QC,Artisan,Artisanale,,http://www.st-benoit-du-lac.com/fromages/fromagerie.html,27,43,,,Pronounced and becomes more pungent with age,Prononcée et devient plus piquante avec l'âge,"When aged, its texture becomes rich and creamy.","En vieillissant, sa texture devient riche et crémeuse.",1 Year,1 an,0,Veined Cheeses,Pâte persillée,Goat,Chèvre,Pasteurized,Pasteurisé,,,2016-02-03
1315,,Chanoine,,Fromagerie Abbaye de Saint-Benoît-du-Lac,QC,Artisan,Artisanale,,http://www.st-benoit-du-lac.com/fromages/fromagerie.html,32,41,,,Pronounced,Prononcée,,,3 Months,3 mois,0,Veined Cheeses,Pâte persillée,Ewe,Brebis,Pasteurized,Pasteurisé,,,2016-02-03
1316,,Bleu Bénédictin,,Fromagerie Abbaye de Saint-Benoît-du-Lac,QC,Artisan,Artisanale,,http://www.st-benoit-du-lac.com/fromages/fromagerie.html,24,45,2006 Canadian Cheese Grand Prix blue cheese category Champion,Champion de la catégorie fromages bleus au Grand Prix des Fromages Canadiens en 2006,Creamy with a slight salty taste,Crémeuse et légèrement salée,"Natural rind, surface ripened","Pâte à croûte naturelle, affinée en surface",3 Months,3 mois,0,Veined Cheeses,Pâte persillée,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1317,,Memphré (Le),,Fromagerie Abbaye de Saint-Benoît-du-Lac,QC,Artisan,Artisanale,,http://www.st-benoit-du-lac.com/fromages/fromagerie.html,31,41,,,"Typical taste, very agreable in the mouth, neither too mild or too pronounced","Saveur typique et très agréable en bouche qui n'est ni trop douce, ni trop prononcée.","No rind, smooth and unctuous","Pâte sans croûte, texture douce et onctueuse",3 Months,3 mois,0,Firm Cheese,Pâte ferme,Ewe,Brebis,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1318,,Ermite,,Fromagerie Abbaye de Saint-Benoît-du-Lac,QC,Artisan,Artisanale,,http://www.st-benoit-du-lac.com/fromages/fromagerie.html,30,41,,,"Strong taste typical of certain blue cheeses, with a long finish","Goût relevé typique de certains fromages bleus, long en bouche","Unpressed, uncooked cheese, interior-ripened with Penicilium roqueforti","Pâte non pressée, non cuite, affinée dans la masse par le penicilium roqueforti",2 Months,2 mois,0,Veined Cheeses,Pâte persillée,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
1319,,Frère Jacques,,Fromagerie Abbaye de Saint-Benoît-du-Lac,QC,Artisan,Artisanale,,http://www.st-benoit-du-lac.com/fromages/fromagerie.html,29,42,,,Mild and hazelnutty,Douce et noisetée,"Pressed cheese, natural rind and interior-ripened, dry texture, big eyes","Pâte pressée, à croûte naturelle et affinée dans la masse, texture sèche, grands ""yeux""",2 Months,2 mois,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
1320,,Moine (Le),,Fromagerie Abbaye de Saint-Benoît-du-Lac,QC,Artisan,Artisanale,,http://www.st-benoit-du-lac.com/fromages/fromagerie.html,29,42,Cheese similar to the Gruyère family,Fromage apparenté à la famille des Gruyère,"Sharp, hazelnutty",Marquée et noisetée,"Cheese with irregular holes, natural rind",Pâte avec trous irréguliers à croûte naturelle,2 Months,2 mois,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
1321,,Mont Saint-Benoît,,Fromagerie Abbaye de Saint-Benoît-du-Lac,QC,Artisan,Artisanale,,http://www.st-benoit-du-lac.com/fromages/fromagerie.html,30,43,Emmental type cheese,Fromage de type emmental,Mild and hazelnut flavour,Douce et  noisettée,Interior ripened,Affinée dans la masse,Less than 1 Month,moins de 1 mois,0,Semi-soft Cheese,Pâte demi-ferme,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1322,,Ricotta de chèvre,,Fromagerie Abbaye de Saint-Benoît-du-Lac,QC,Artisan,Artisanale,,http://www.st-benoit-du-lac.com/fromages/fromagerie.html,25,55,,,"Fresh, acidulous.","Fraîche, acidulée et légèrement caprine",White and damp,Pâte blanche et humide,Unripened,non-affiné,0,Fresh Cheese,Pâte fraîche,Goat,Chèvre,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1323,,Ricotta Saint-Benoît,,Fromagerie Abbaye de Saint-Benoît-du-Lac,QC,Artisan,Artisanale,,http://www.st-benoit-du-lac.com/fromages/fromagerie.html,12,65,,,"Fresh, mild, slightly acidulous","Fraîche, douce et légèrement acidulée",White and damp,Pâte blanche et humide,,,0,Fresh Cheese,Pâte fraîche,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1324,,Saint-Augustin (Le),,Fromagerie Abbaye de Saint-Benoît-du-Lac,QC,Artisan,Artisanale,,http://www.st-benoit-du-lac.com/fromages/fromagerie.html,29,40,Emmenthal type cheese,Fromage de type emmental,Mild and hazelnutty,Douce et noisetée,"Orange-colored, elastic texture",Couleur orangée à la texture élastique,3 Months,3 mois,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1325,,Archange (L'),,Fromagerie Abbaye de Saint-Benoît-du-Lac,QC,Artisan,Artisanale,,http://www.st-benoit-du-lac.com/fromages/fromagerie.html,28,43,,,Mild,Douce,"Pressed, with irregular holes, no rind","Pâte pressée parsemée de trous irréguliers, sans croûte",1 Month,1 mois,0,Firm Cheese,Pâte ferme,Goat,Chèvre,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1326,Ricotta Prestigio,Ricotta Prestigio,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,12,76,,,"Delicate and fresh, slightly salty","Goût délicat et frais, légèrement salée",Whey Ricotta,Ricotta de lactosérum,Unripened,non-affiné,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1327,,Ricotta Prestigio léger,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,4,78,Low in fat,Faible en gras,"Delicate and fresh, slightly salty","Goût délicat et frais, légèrement salée",Whey Ricotta,Ricotta de lactosérum,Unripened,non-affiné,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1329,,Rondoux double crème,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,28,50,,,Creamy taste with a hint of mushroom,Goût de crème agrémenté d’une légère note de champignons,Stabilized cheese,Pâte stabilisée,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1330,,Rondoux triple crème,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,42,45,Triple cream,Triple crème,Creamy flavor that becomes more pronounced through ripening,Saveur de crème deviendra plus prononcée suite à l'affinage,Solubilized,Pâte solubilisée,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1331,,Rondoux pur chèvre,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,22,56,,,,,Lactic cheese,Pâte lactique,,,0,Soft Cheese,Pâte molle,Goat,Chèvre,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1332,,Chevrita,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,22,56,,,Mild,Doux,Pactic cheese,Pâte lactique,,,0,Soft Cheese,Pâte molle,Goat,Chèvre,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1333,,Extra chèvre (L'),Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,22,56,,,Mild goat flavour,Doux goût caprin,Lactic cheese,Pâte lactique,,,0,Soft Cheese,Pâte molle,Goat,Chèvre,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1334,,Doucerel,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,22,56,,,,,Lactic cheese,Pâte lactique,,,0,Soft Cheese,Pâte molle,Goat,Chèvre,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1335,,Brie Chevalier double crème,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,28,50,"Double Cream. Also available seasoned with herbs, pepper or basil and sundried tomatoes.","Double crème. Aussi disponible aux herbes, au poivre ou au basilic et tomates séchées.",Milk and hazelnut flavors,Saveur de lait et de noisettes,Stabilized,Pâte stabilisée,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1336,,Brie L'Extra double crème,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,28,50,Double cream,Double crème,"Milk and hazelnut flavors, slightly richer than a simple cream",Saveur de lait et de noisette,Stabilized,Pâte stabilisée,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1337,,Havarti Danesborg léger,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,17,55,Low in fat,Faible en gras,Hazelnut flavor becoming more pronounced with age,Saveur de noisettes devenant plus prononcée avec le temps,Interior-ripened,Affiné dans la masse,,,0,Semi-soft Cheese,Pâte demi-ferme,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1338,,Fontina Canadien,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,27,46,,,Creamy with a salty hint,Goût de crème avec une pointe de sel,"Pressed, interior-ripenened, covered with a layer of wax","Pâte pressée, affiné dans la masse, recouvert d'une couche de cire",,,0,Semi-soft Cheese,Pâte demi-ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
1339,,Oka avec champignons,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,28,47,,,Mushroom and truffle woody flavor,Saveur boisée de champignons et de truffes,Washed rind showing a light white duvet,Croûte lavée présentant d'un léger duvet blanc,,,0,Semi-soft Cheese,Pâte demi-ferme,Cow,Vache,Pasteurized,Pasteurisé,Washed Rind,Croûte lavée,2016-02-03
1340,,Oka l'artisan,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,28,42,"Awarded first place (gold) at the 2009 American Cheese Society Judging and Competition in Austin, TX.","A remporté la première place (or) à l'édition 2009 de la American Cheese Society Judging and Competition à Austin, TX.",Hazelnut and butter taste,Goût de noisettes et de beurre,,,,,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,Washed Rind,Croûte lavée,2016-02-03
1341,Feta (Danesborg),Féta (Danesborg),Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,22,55,,,Slightly salty,Saveur légèrement salée,"Moist surface, interior-ripened","Surface humide, affiné dans la masse",,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1342,,Féta léger (Danesborg),Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,15,57,,,Slightly salty,Légèrement salée,"Moist surface, interior-ripened","Surface humide, affiné dans la masse",,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1343,Raclette Anco,Raclette Anco,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,28,42,,,Slight hazelnut taste,Léger goût de noisettes,,,,,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,Washed Rind,Croûte lavée,2016-02-03
1344,,Champfleury (Vaudreuil),Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,28,50,Champion in it's category at the American Cheese Society in 2015.,Champion dans sa catégorie au American Cheese Society en 2015,Fruity,Goût fruité,"Orange-copper washed rind, stabilized","Croûte lavée orange-cuivré, pâte stabilisée",,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Washed Rind,Croûte lavée,2016-02-03
1345,Feta (Anco),Feta (Anco),Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,22,55,,,"Salty, slightly pungent and pronounced","Goût salin, légèrement piquant et prononcé","Slightly creamy texture, interior-ripened","Texture légèrement crémeuse, affiné dans la masse",,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1346,,Féta de chèvre (Anco),Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,22,55,,,"Salty, slightly pungent and pronounced","Goût salin, légèrement piquant et prononcé",Slightly creamy,Légèrement crémeux,,,0,Soft Cheese,Pâte molle,Goat,Chèvre,Pasteurized,Pasteurisé,No Rind,Sans croûte,2016-02-03
1347,,Camembert Allégro,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,16,58,Low in fat,Faible en gras,"Milk, hazelnut and mushroom taste","Lait, noisettes et champignons",Stabilized,Pâte stabilisée,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1348,Camembert Anco,Camembert Anco,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,22,56,,,"Milk, hazelnut and mushroom flavour","Saveur de lait, de noisettes et de champignons",Lactic cheese,Pâte lactique,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1349,,Allégro 17%,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,17,57,Low in fat,Faible en gras,"Rather neutral, mushrooms aroma","Plutôt neutre, arôme de champignons",Stabilized,Pâte stabilisée,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1350,,Brie double crème Anco,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,28,50,,,"Milk and hazelnut flavor, slightly richer than a simple cream cheese",Saveur de lait et noisettes plus riche qu'un simple,Stabilized,Pâte stabilisée,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1351,,Grand Camembert l'Extra,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,23,56,,,"Milk, hazelnut and mushroom flavor","Saveur de lait, de noisettes et de champignons",,,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
1352,,Grand Camembert Vaudreuil,Agropur,Agropur,QC,Industrial,Industrielle,http://http://agropur.com/en/,http://http://agropur.com,22,56,,,"Milk, hazelnut and mushroom flavor","Saveur de lait, de noisettes et de champignons",Lactic cheese,Pâte lactique,,,0,Soft Cheese,Pâte molle,Cow,Vache,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
